	Control1	Control2	Control3	Control4	Control5	Case1	Case2	Case3	Case4	Case5	Outgroup1	Outgroup2	Outgroup3	Outgroup4	Outgroup5
Carbohydrate;Fructose, Mannose and Galactose Metabolism;fructose	0.8658	1.2299	0.6569	0.37	1.1071	0.7723	1.0747	0.491	0.9718	0.9822	1.2523	1.3319	1.3366	0.7772	1.9393
Energy;TCA Cycle;fumarate	0.6431	1.3904	0.9146	0.9677	0.8401	0.6595	1.0828	0.6345	0.9929	1.4532	0.6612	1.4969	1.9865	1.7507	1.1009
Carbohydrate;Fructose, Mannose and Galactose Metabolism;galactitol (dulcitol)	0.9886	1.455	0.6614	0.8324	1.0114	0.7513	0.9151	0.7294	0.5382	0.9206	1.4511	1.0345	2.0568	1.5202	1.3267
Carbohydrate;Fructose, Mannose and Galactose Metabolism;galactonate	0.3729	0.6752	0.4833	0.3203	1.3195	0.3203	0.7841	0.3203	2.4768	0.7779	1.017	1.604	1.4136	0.983	1.2201
Peptide;Gamma-glutamyl Amino Acid;gamma-glutamyl-2-aminobutyrate	0.8024	0.5851	0.5873	0.4584	0.9275	0.4232	0.5774	0.5241	0.6545	0.8074	2.1162	2.7095	1.2556	1.2673	1.3923
Peptide;Gamma-glutamyl Amino Acid;gamma-glutamylalanine	0.4389	0.9686	1.044	0.188	0.9312	0.6034	0.6053	0.2104	0.5602	0.4305	1.5834	2.4067	1.285	1.0314	0.9663
Peptide;Gamma-glutamyl Amino Acid;gamma-glutamyl-epsilon-lysine	2.0235	0.8797	0.7888	1.016	1.4775	0.7928	1.0951	1.2496	1.1343	1.4142	1.3004	0.8262	0.984	1.0403	1.0379
Peptide;Gamma-glutamyl Amino Acid;gamma-glutamylglutamate	0.6257	0.9371	0.7986	0.6941	0.7461	0.7324	0.9849	0.3662	0.8182	1.0262	1.2507	1.7327	1.3951	1.0793	1.2068
Peptide;Gamma-glutamyl Amino Acid;gamma-glutamylglutamine	0.6236	0.8996	0.8819	0.4307	0.8239	0.5972	0.7249	0.4661	0.7954	1.1037	1.2566	1.9445	1.3484	1.1149	1.1946
Peptide;Gamma-glutamyl Amino Acid;gamma-glutamylglycine	0.7691	0.67	0.6083	0.3762	0.9614	0.7273	1.0951	0.4251	0.965	0.895	1.6754	1.7395	1.1545	1.025	1.4533
Peptide;Gamma-glutamyl Amino Acid;gamma-glutamylhistidine	0.8403	0.8063	0.7788	0.5013	0.8931	0.6665	0.6317	0.4406	0.7397	0.868	1.9661	1.7209	1.6449	1.2584	1.2025
Peptide;Gamma-glutamyl Amino Acid;gamma-glutamylisoleucine*	1.2557	0.8482	0.7153	0.523	0.9413	0.61	0.7044	0.8306	0.6472	0.4986	2.0976	1.3717	1.3041	1.1316	1.1485
Peptide;Gamma-glutamyl Amino Acid;gamma-glutamylleucine	1.0408	0.9545	0.9607	0.3871	0.846	0.5253	0.5773	0.8792	0.6396	0.507	2.0201	1.5124	1.1724	1.2081	1.1256
Peptide;Gamma-glutamyl Amino Acid;gamma-glutamylmethionine	0.6579	0.9006	1.0009	0.2836	1.1401	0.5662	0.6486	0.3029	0.6455	0.8085	1.2671	1.9751	1.1402	1.1251	0.9991
Peptide;Gamma-glutamyl Amino Acid;gamma-glutamylphenylalanine	0.9729	0.6807	0.7209	0.6571	0.8514	0.5173	0.5969	0.9405	0.6979	1.0197	1.5229	1.5147	1.9175	1.2516	1.1997
Peptide;Gamma-glutamyl Amino Acid;gamma-glutamylthreonine*	1.4352	0.9032	0.846	0.4493	1.236	0.4815	0.5873	0.5745	0.628	0.7001	2.2287	1.3825	0.9957	0.9207	1.4772
Peptide;Gamma-glutamyl Amino Acid;gamma-glutamyltryptophan	0.5924	0.5708	0.7331	0.3691	0.7464	0.5577	0.7118	0.3172	0.7585	0.9793	1.3039	1.626	1.3753	1.3826	1.0207
Peptide;Gamma-glutamyl Amino Acid;gamma-glutamyltyrosine	0.7995	0.7266	0.9224	0.4668	0.8527	0.2567	0.3602	0.1368	0.6042	1.0059	1.2824	1.4304	1.7151	1.1395	1
Peptide;Gamma-glutamyl Amino Acid;gamma-glutamylvaline	1.1194	0.7682	0.7723	0.4397	0.8875	0.5549	0.5464	0.6646	0.6485	0.485	1.6219	1.2487	1.3125	1.1573	1.0168
Cofactors and Vitamins;Tocopherol Metabolism;gamma-tocopherol/beta-tocopherol	0.4797	0.4086	0.4086	0.647	0.4086	0.4086	0.4086	0.4086	0.4086	0.4086	0.4086	1.367	1	1.0327	0.4786
Xenobiotics;Food Component/Plant;gluconate	1.0537	0.7347	0.3974	0.6346	0.7237	0.6229	0.8239	0.5924	1.1064	0.7717	1.4989	1.3142	1.4935	1.2096	1.314
Carbohydrate;Glycolysis, Gluconeogenesis, and Pyruvate Metabolism;glucose	0.7526	1.3284	0.8708	0.4372	0.9202	1.0272	0.8187	0.4874	1.1075	0.9728	0.9464	1.2989	0.9452	0.8308	1.2606
Carbohydrate;Aminosugar Metabolism;glucuronate	1.593	1.0415	0.7221	1.0017	0.9649	0.9913	1.1144	0.9916	0.9829	1.0753	1.2003	1.0401	1.0586	1.0688	0.9479
Amino Acid;Glutamate Metabolism;glutamate	0.5208	0.5925	0.4595	2.0123	0.5748	0.3851	0.9925	0.4548	1.0936	0.8703	0.8089	1.2265	2.1694	1.0341	1.3863
Amino Acid;Glutamate Metabolism;glutamine	0.7903	1.0863	1.0053	0.7777	0.8831	0.9647	0.994	0.6745	1.1066	1.2078	0.9917	1.3463	1.226	1.1346	1.1724
Amino Acid;Lysine Metabolism;glutarate (pentanedioate)	0.5154	1.4203	0.4211	0.4493	0.7152	0.8571	0.2354	0.7021	0.6377	0.723	1.0285	2.0393	3.4686	3.8195	3.5529
Amino Acid;Lysine Metabolism;glutarylcarnitine (C5)	0.7999	0.8309	0.3702	0.3911	0.4965	0.6386	0.6045	0.2978	1.3484	0.8099	1.2102	0.9986	1.0014	1.2365	1.0334
Amino Acid;Glutathione Metabolism;glutathione, oxidized (GSSG)	0.5834	0.7004	0.4132	0.6369	0.6191	0.262	0.2895	0.4725	0.9152	0.5107	1.5846	2.2584	2.258	1.8261	1.8479
Carbohydrate;Glycolysis, Gluconeogenesis, and Pyruvate Metabolism;glycerate	1.2737	1.2737	1.2919	1.1639	1.0817	1.1067	1.1629	0.9001	1.3173	1.1361	0.7087	0.865	0.9954	1.051	0.8747
Lipid;Glycerolipid Metabolism;glycerol	0.801	1.1495	1.0328	0.483	1.1611	0.4612	0.8656	0.5846	1.2812	1.494	0.8098	1.0355	1.2284	1.19	0.8921
Lipid;Glycerolipid Metabolism;glycerol 3-phosphate	0.4462	0.6429	0.2385	0.9045	0.501	0.5058	0.837	0.3686	1.6465	1.0401	1.1064	1.1161	0.9599	1.2	1.4954
Lipid;Phospholipid Metabolism;glycerophosphoethanolamine	0.5455	0.8921	0.8702	1.5528	0.8291	0.6424	1.3603	0.5265	1.811	0.9394	1.2097	0.8285	1.27	0.8695	1.1521
Lipid;Glycerolipid Metabolism;glycerophosphoglycerol	0.4067	0.8241	0.4003	0.6314	0.5624	0.6768	1.1418	0.3137	1.8716	0.8488	0.9873	1.3146	1.7392	1.1192	1.761
Lipid;Phospholipid Metabolism;glycerophosphoinositol*	0.7156	0.7156	0.7156	0.7156	0.7156	0.7156	0.7156	0.7156	0.7156	0.7156	1.1923	0.7156	0.8462	1.2272	0.8368
Lipid;Phospholipid Metabolism;glycerophosphorylcholine (GPC)	0.7841	1.1989	1.1642	1.7836	1.185	0.6115	1.2566	0.6327	1.6266	0.9365	0.8946	1.019	1.163	0.7404	0.981
Amino Acid;Glycine, Serine and Threonine Metabolism;glycine	0.9013	0.7769	0.7169	0.6172	1.0036	0.9496	1.2869	0.6769	1.1878	1.0457	1.0489	1.087	0.8799	0.8452	1.1828
Peptide;Dipeptide;glycylleucine	1.4558	1.7392	0.478	0.478	1.8392	0.478	1.23	0.478	0.6353	1.3833	0.9856	0.478	0.478	0.478	1.0144
Amino Acid;Creatine Metabolism;guanidinoacetate	0.7151	0.9934	1.0528	0.9305	1.2657	1.1222	1.7375	0.5499	1.504	2.7178	0.7269	0.7868	1.2056	0.8619	1.0066
Cofactors and Vitamins;Ascorbate and Aldarate Metabolism;gulonic acid*	0.9538	0.8768	0.3727	0.4427	0.6526	0.7546	0.8222	0.6432	0.9878	0.6438	1.4366	1.2905	1.4654	1.6297	1.4119
Cofactors and Vitamins;Hemoglobin and Porphyrin Metabolism;heme	0.8238	3.5954	2.8871	2.0169	3.5669	1	2.384	4.3965	1.7866	1.3946	0.8758	0.1356	0.2985	0.1356	0.328
Lipid;Medium Chain Fatty Acid;heptanoate (7:0)	0.4809	0.4809	0.4809	0.4809	0.6475	1.0049	1.0294	0.4809	0.4809	0.4809	1.005	0.7005	0.4809	0.4809	0.4809
Lipid;Fatty Acid, Dicarboxylate;hexadecanedioate	1.1778	1.4649	1.5703	0.876	0.8763	0.6362	0.9402	0.5829	0.8469	1.0121	0.7997	0.9879	1.7566	1.215	0.8442
Lipid;Fatty Acid Metabolism(Acyl Carnitine);hexanoylcarnitine	0.902	0.9518	0.9937	0.7932	0.7718	0.5342	0.7366	0.3097	1.0063	1.2164	1.2743	0.803	1.244	0.9584	1.0435
Lipid;Fatty Acid Metabolism(Acyl Glycine);hexanoylglycine	1.0927	0.7826	0.6865	0.5111	0.9207	1.0547	2.0909	1.2352	2.0188	1.3738	0.9547	0.4798	0.6801	0.8747	1.0453
Xenobiotics;Benzoate Metabolism;hippurate	1.2472	8.3513	2.2752	0.5317	1.7007	0.9361	0.8529	0.6353	1.256	0.2596	0.1705	0.4855	0.5246	0.5052	0.8367
Amino Acid;Histidine Metabolism;histidine	1.2041	1.4238	0.8709	0.6456	1.199	0.747	0.6818	0.9646	0.892	1.2289	1.2181	0.9959	1.1369	1.0041	1.4727
Amino Acid;Urea cycle, Arginine and Proline Metabolism;homoarginine	3.9543	1.6811	2.2852	3.2849	2.7769	1.9425	2.6109	2.9405	2.7271	3.5037	0.5197	0.5454	0.2972	0.7289	0.9402
Amino Acid;Urea cycle, Arginine and Proline Metabolism;homocitrulline	1.0391	0.8855	0.8299	0.3936	0.7815	0.9553	0.9609	0.8556	0.7971	0.512	2.0331	1.6215	1.8017	1.7083	1.0453
Xenobiotics;Food Component/Plant;homostachydrine*	1.1379	0.9387	0.6095	1.2652	0.8023	1	0.9174	1.3387	1.0829	1.464	0.69	0.9318	0.7465	0.8628	1.3211
Amino Acid;Methionine, Cysteine, SAM and Taurine Metabolism;hypotaurine	0.4372	1.3044	1.4805	4.0171	0.8875	0.5949	0.7883	0.3014	0.925	1.9691	0.7978	0.8765	2.6486	1.0495	1.1907
Nucleotide;Purine Metabolism, (Hypo)Xanthine/Inosine containing;hypoxanthine	2.2901	3.6806	1.6181	0.5728	1.2348	0.9509	0.4485	1	1.9776	2.0688	0.0345	0.0345	1.1009	1.5802	0.8321
Amino Acid;Histidine Metabolism;imidazole lactate	1.0126	0.7635	0.6847	0.8192	0.8179	0.7091	0.7928	0.6612	0.6418	0.9874	1.4879	1.1268	2.0176	1.2057	1.6004
Amino Acid;Histidine Metabolism;imidazole propionate	1.0302	0.7303	2.0483	0.3552	0.8524	0.3759	0.4608	0.6035	0.6185	0.9698	3.5735	1.2349	2.7332	3.3859	3.6455
Xenobiotics;Chemical;iminodiacetate (IDA)	1.2621	1.1932	1.1135	1.0032	1.2526	1.2744	1.4534	1.0238	1.3357	1.2419	0.9665	0.904	0.8061	0.9874	0.9968
Amino Acid;Tryptophan Metabolism;indole-3-carboxylic acid	1.17	1.3524	0.8814	0.763	1.5856	1.1386	1.3691	0.9724	1.5399	1.3182	1.072	0.7892	0.8891	0.7223	0.8424
Amino Acid;Tryptophan Metabolism;indoleacetate	1.5928	1.0152	0.7713	0.8247	1.0383	1.1536	1.3016	1.0901	1.1581	1.445	0.8571	0.6542	0.8625	0.8321	0.7209
Xenobiotics;Food Component/Plant;indoleacrylate	2.9039	2.6415	1.1213	1.6217	0.4565	0.8542	0.3654	1.2077	1.5467	0.8294	0.3654	1.6996	0.5423	0.3654	0.3962
Amino Acid;Tryptophan Metabolism;indolelactate	1.3863	0.8223	0.6445	0.917	0.9355	0.9185	1.0513	1.415	1.0304	1.0455	1.0391	0.8638	1.0611	1.0661	0.7917
Amino Acid;Tryptophan Metabolism;indolepropionate	2.0153	1.4459	0.9251	1.4921	0.2149	0.9834	0.192	1.0208	1.1139	1.3636	0.3809	2.2064	0.757	0.7244	0.8324
Nucleotide;Purine Metabolism, (Hypo)Xanthine/Inosine containing;inosine	2.4409	4.0541	1.8779	1.6119	0.9085	0.8174	1.0915	1.2855	2.9506	5.1328	0.1248	0.4704	4.5584	3.9455	3.1619
Nucleotide;Purine Metabolism, (Hypo)Xanthine/Inosine containing;inosine 5-monophosphate (IMP)	0.5429	0.5429	0.5429	1.4571	0.5429	0.5429	0.5429	0.5429	0.5429	0.5429	0.5429	0.5429	0.5429	0.5429	0.5429
Carbohydrate;Glycolysis, Gluconeogenesis, and Pyruvate Metabolism;Isobar: fructose 1,6-diphosphate, glucose 1,6-diphosphate, myo-inositol 1,4 or 1,3-diphosphate	0.4119	0.4119	0.6311	6.633	0.4119	0.4119	1.4133	1.791	0.9026	0.6596	0.4119	0.4119	0.6747	0.4983	0.932
Amino Acid;Leucine, Isoleucine and Valine Metabolism;isobutyrylcarnitine	0.7121	0.9109	0.4518	0.1074	0.7117	0.5183	0.2297	0.5698	0.8145	0.6284	1.655	1.9502	1.9468	1.6088	1.4363
Amino Acid;Leucine, Isoleucine and Valine Metabolism;isobutyrylglycine	0.774	1.0069	0.3924	0.5169	1.2024	0.742	0.9718	0.9931	1.1027	0.4112	1.4629	1.4701	0.7117	0.9339	1.1111
Energy;TCA Cycle;isocitrate	0.7148	0.8659	0.3071	1.014	0.7419	0.5606	0.8209	1.1718	0.986	1.1236	1.2392	1.1068	1.2484	0.3945	1.2494
Amino Acid;Leucine, Isoleucine and Valine Metabolism;isoleucine	1.0023	1.009	0.9058	0.6053	0.7176	0.8802	0.7974	0.9305	0.9583	0.7661	1.1542	1.1838	1.1536	1.1498	1.1767
Peptide;Dipeptide;isoleucylglycine	1.1044	1.1297	0.4536	0.4536	2.0217	1.6748	1.9368	1	1.8961	1.3284	0.4536	0.4536	0.7291	0.4536	0.4536
Amino Acid;Leucine, Isoleucine and Valine Metabolism;isovalerylcarnitine	0.655	1.1025	0.9921	0.4756	1.0131	0.3461	0.2419	0.5787	0.681	0.6112	1.5728	0.8519	1.4285	1.1363	0.7963
Amino Acid;Leucine, Isoleucine and Valine Metabolism;isovalerylglycine	1.0463	0.7531	0.4043	0.2104	0.6706	0.7337	0.6181	2.2529	1.0253	0.5699	1.3824	0.9685	1.0469	1.4894	1.1131
Energy;TCA Cycle;itaconate (methylenesuccinate)	0.4086	0.4086	0.4086	0.4086	0.4086	0.4086	0.4086	0.4086	0.4086	0.4086	0.7234	1.3081	2.6466	1.6381	1.0428
Amino Acid;Tryptophan Metabolism;kynurenate	1.0283	0.9965	0.7455	0.3057	0.8251	1.1901	0.6731	0.549	0.7948	0.6965	1.0035	0.8965	1.1635	1.1158	1.183
Amino Acid;Tryptophan Metabolism;kynurenine	0.3798	0.2371	0.1791	0.2025	0.2293	0.3258	0.2091	0.2261	0.2035	0.2247	2.8171	1.9534	2.8807	2.0913	1.931
Carbohydrate;Glycolysis, Gluconeogenesis, and Pyruvate Metabolism;lactate	0.9031	1.0312	0.9882	0.566	0.9142	0.9079	0.9083	0.5536	0.8419	1.1853	0.9952	1.1047	1.5819	1.2627	1.1498
Lipid;Medium Chain Fatty Acid;laurate (12:0)	0.9298	1.1251	1.3501	0.5889	1.2362	0.4056	1.0226	0.1722	1.3659	1.3351	0.5308	0.7759	1.0285	0.5852	0.7737
Lipid;Fatty Acid Metabolism(Acyl Carnitine);laurylcarnitine	1.0077	0.7001	0.8064	0.988	1.0797	0.3212	1.1529	0.4291	0.9535	0.9923	1.2117	0.8789	1.5711	0.9348	0.6199
Amino Acid;Leucine, Isoleucine and Valine Metabolism;leucine	0.9513	1.1421	0.9823	0.4846	0.6652	0.8245	0.7756	0.9258	1.0036	0.6908	1.1	1.2544	1.1673	1.3311	1.1848
Peptide;Dipeptide;leucylglycine	0.5789	0.5789	0.5789	0.5789	0.5789	1.049	1.09	0.5789	0.7088	1.0678	0.5789	0.5789	0.5789	0.5789	0.5789
Lipid;Polyunsaturated Fatty Acid (n3 and n6);linoleate (18:2n6)	1.0822	1.0095	0.9776	0.7352	0.7481	0.7502	1.0578	0.1611	1.0178	1.0325	0.9373	0.9905	1.5438	0.9074	0.8449
Lipid;Polyunsaturated Fatty Acid (n3 and n6);linolenate [alpha or gamma, (18:3n3 or 6)]	1.2098	0.9104	0.9345	0.9908	0.7621	0.6556	1.0389	0.1226	1.3833	1.024	0.806	0.9215	1.9576	0.717	1.0092
Lipid;Fatty Acid Metabolism(Acyl Carnitine);linoleoylcarnitine*	0.8307	0.5692	0.6755	0.8909	0.7288	0.4191	1.0268	0.7459	0.9575	0.9732	1.3427	1.6205	2.4101	1.3846	0.7822
Amino Acid;Lysine Metabolism;lysine	0.9784	1.0016	1.0611	0.6981	1.0112	0.9064	0.9788	0.9427	1.0231	1.0443	0.9989	1.0827	0.9796	1.0011	1.0208
Energy;TCA Cycle;malate	0.6267	1.5239	0.8497	1.0228	0.891	0.7181	1.1782	0.7045	0.8328	1.4997	0.7236	1.7848	2.1382	1.7462	1.4211
Lipid;Fatty Acid, Dicarboxylate;maleate	1.1418	0.7911	0.6642	1.8386	0.882	1.1422	0.5983	0.6285	5.4394	0.7542	1.0151	1.0458	1.1324	0.853	1.0063
Lipid;Fatty Acid Synthesis;malonate	0.9947	0.9692	0.7334	0.7253	0.7865	0.9574	1.014	0.7126	0.8388	1.1712	1.3032	1.03	1.2169	1.1144	0.801
Lipid;Fatty Acid Synthesis;malonylcarnitine	1.4248	0.7591	0.7191	1.4032	0.9783	0.8748	1.0244	1.0169	1.0458	1.2228	1.4202	0.9098	0.9765	1.2179	1.1419
Carbohydrate;Fructose, Mannose and Galactose Metabolism;mannitol/sorbitol	0.9509	2.0194	0.9385	0.5003	0.9998	0.7675	0.9294	0.3985	0.9447	1.0002	1.0584	1.4466	1.3149	1.2729	1.2775
Carbohydrate;Fructose, Mannose and Galactose Metabolism;mannose	0.9321	1.0547	0.8381	0.6044	1.0062	0.9938	0.8901	0.5674	1.1242	1.2616	1.0278	1.0918	0.7666	0.7076	1.0306
Lipid;Long Chain Fatty Acid;margarate (17:0)	0.8412	1.0859	1.1146	0.6825	0.9118	0.7556	1.2835	0.728	1.051	0.8698	0.9694	1.1033	1.4581	0.9188	1.0306
Lipid;Polyunsaturated Fatty Acid (n3 and n6);mead acid (20:3n9)	0.658	1.1759	1.0066	0.5106	0.9934	0.5634	1.4119	0.2184	1.7377	1.1905	0.5375	0.9047	1.3383	0.7021	0.4358
Amino Acid;Methionine, Cysteine, SAM and Taurine Metabolism;methionine	0.8926	1.2431	1.2513	0.7446	1.1539	0.8253	0.9737	0.6017	1.0691	1.064	0.9435	1.1773	1.02	1.0006	0.9994
Amino Acid;Methionine, Cysteine, SAM and Taurine Metabolism;methionine sulfone	1.5174	1.5206	1.3392	0.4747	1.1683	0.7877	1.4721	1.07	1.2828	1	0.6944	0.6366	0.9055	0.8347	0.4492
Amino Acid;Methionine, Cysteine, SAM and Taurine Metabolism;methionine sulfoxide	1.0803	1.1498	1.1936	0.5516	1.0951	0.7856	1.1102	0.5026	1.0607	0.8767	0.8963	1.2128	1.0983	0.8528	0.9327
Xenobiotics;Food Component/Plant;methyl glucopyranoside (alpha + beta)	0.8699	1.6226	1.2305	0.5801	1.2029	1.2724	1.4488	0.6179	1.3425	1.4118	0.75	0.9582	0.9051	0.8646	0.7533
Xenobiotics;Food Component/Plant;methyl indole-3-acetate	1.9467	2.8878	3.3985	0.86	4.5773	0.969	1.4184	3.4399	2.1396	0.9444	1	0.1996	0.3684	0.1996	0.1996
Amino Acid;Leucine, Isoleucine and Valine Metabolism;methylsuccinate	0.2057	0.3699	0.1528	0.0617	0.1899	0.2926	0.1596	0.1301	0.2396	0.2992	1.9937	3.9546	3.2901	4.7362	5.4141
Lipid;Inositol Metabolism;myo-inositol	1.3048	0.8128	0.5496	0.9031	1.2643	0.6924	0.895	0.5742	0.6558	0.8341	1.4118	0.9836	1.1563	1.2842	1.0164
Lipid;Long Chain Fatty Acid;myristate (14:0)	1.0054	0.9946	1.2585	0.679	0.8951	0.543	1.1298	0.2149	1.226	1.2768	0.7115	0.8078	1.4414	0.7473	0.8329
Lipid;Long Chain Fatty Acid;myristoleate (14:1n5)	1.1094	0.756	0.6909	0.6839	0.9433	0.455	1.2541	0.3015	1.5329	1.3539	0.7035	0.9101	1.6417	0.7367	0.8843
Lipid;Fatty Acid Metabolism(Acyl Carnitine);myristoleoylcarnitine*	0.7823	0.4441	0.5848	0.6803	0.63	0.4679	0.8751	0.6036	0.9557	1.1129	1.0674	1.0443	1.7711	1.2417	0.7039
Lipid;Fatty Acid Metabolism(Acyl Carnitine);myristoylcarnitine	0.6956	0.5267	0.5682	0.9524	0.7732	0.3937	0.9145	0.5472	0.9036	1.0476	1.2061	1.3702	2.4669	1.4556	0.7369
Cofactors and Vitamins;Nicotinate and Nicotinamide Metabolism;N1-Methyl-2-pyridone-5-carboxamide	0.8154	0.7516	0.2872	0.5287	0.8096	1.129	0.871	1.2834	0.7831	0.561	2.5947	1.34	1.5076	0.8316	1.4114
Nucleotide;Purine Metabolism, Adenine containing;N1-methyladenosine	1.1229	0.8211	0.7266	0.5846	1.045	0.7484	0.8611	0.7254	0.923	0.9094	1.0086	1.026	1.0855	1.1771	1.0209
Nucleotide;Purine Metabolism, Guanine containing;N2,N2-dimethylguanosine	0.9531	0.9402	0.79	0.762	1.0801	0.7301	0.9678	0.5793	0.9133	1.5622	0.9528	1.0322	1.8585	1.5486	1.0991
Amino Acid;Urea cycle, Arginine and Proline Metabolism;N2,N5-diacetylornithine	0.7	1.0043	0.6311	0.1755	0.1755	2.6371	1.9459	2.1208	2.2009	1.312	1.2193	0.3971	1	1.9888	0.8242
Amino Acid;Lysine Metabolism;N2,N6-diacetyllysine	0.6541	1.2725	0.6384	0.3273	0.7432	1.4622	1.2197	0.3273	0.9871	0.6692	1.1947	0.9962	1.5615	1.8253	1.1284
Nucleotide;Pyrimidine Metabolism, Cytidine containing;N4-acetylcytidine	0.8777	0.5595	0.4976	0.5333	0.7847	0.6383	0.7068	0.7131	0.7693	0.6399	2.0194	1.8082	2.3681	1.4509	1.6302
Amino Acid;Lysine Metabolism;N6,N6,N6-trimethyllysine	1.0916	0.9417	0.8788	0.7462	0.9966	0.7258	0.9406	1.0152	0.9138	0.889	1.234	1.0665	1.2127	1.0506	1.016
Amino Acid;Lysine Metabolism;N6-acetyllysine	1.0856	0.9346	0.6896	0.4747	1.0126	0.7918	1	0.722	0.9272	0.7741	1.2672	1.3485	1.5266	1.0827	0.9861
Nucleotide;Purine Metabolism, Adenine containing;N6-carbamoylthreonyladenosine	1.0752	0.7753	0.5113	0.4595	0.9111	0.6681	0.7626	0.6954	0.7752	0.9269	1.4304	1.153	1.4451	1.2603	1.2118
Carbohydrate;Advanced Glycation End-product;N6-carboxymethyllysine	1.42	2.1765	0.9348	0.6852	1.1705	1.3588	1.9256	0.7219	1.0956	0.5861	0.9462	0.9328	0.6443	0.5466	0.3395
Nucleotide;Purine Metabolism, Adenine containing;N6-succinyladenosine	0.8631	0.8455	0.5941	0.6848	0.7215	0.5919	0.8647	0.5723	0.8895	0.8057	1.8546	1.8446	2.3218	1.7763	1.5082
Amino Acid;Histidine Metabolism;N-acetyl-1-methylhistidine*	0.8529	0.901	0.7426	0.2347	0.8958	1.3312	1.0588	0.6575	0.8495	1.064	1.0321	1.0808	1.0257	1.8311	0.9011
Amino Acid;Histidine Metabolism;N-acetyl-3-methylhistidine*	0.78	0.7758	0.507	0.2464	1.1146	1.5481	0.933	0.6764	0.3895	0.8432	1.2891	1.1364	1.2619	1.8515	0.6014
Amino Acid;Alanine and Aspartate Metabolism;N-acetylalanine	0.9954	0.8193	0.6408	0.7291	0.8438	0.717	0.7706	0.8406	0.9105	0.8838	1.3007	1.1247	1.6034	1.2071	1.0046
Amino Acid;Urea cycle, Arginine and Proline Metabolism;N-acetylarginine	1.3014	1.2998	1.0507	1.2721	1.5072	1.7689	1.9973	0.6442	1.3039	2.0579	0.8672	0.5069	0.9336	0.8771	0.6951
Amino Acid;Alanine and Aspartate Metabolism;N-acetylasparagine	1.412	1.2185	0.7263	0.5748	1.2027	0.8497	0.6108	0.3707	1.0296	0.9771	0.9143	1	1.153	0.9275	0.9016
Amino Acid;Alanine and Aspartate Metabolism;N-acetylaspartate (NAA)	1.2778	1.0568	0.9069	1.7281	0.9806	0.9179	2.0012	1.4171	1.7734	1.6029	0.6978	0.7018	1.0504	0.7234	1.0664
Amino Acid;Glutamate Metabolism;N-acetyl-aspartyl-glutamate (NAAG)	1.9101	1.4614	1.0064	1.7564	0.9936	1.2118	1.2732	0.8954	1.1466	1.1399	0.9564	0.9001	1.0624	0.9196	0.9049
Nucleotide;Pyrimidine Metabolism, Uracil containing;N-acetyl-beta-alanine	0.7809	0.5314	0.4908	0.5899	0.6251	0.5901	0.6855	0.8399	0.7229	0.8907	1.5836	1.2193	1.6885	1.1656	1.4808
Peptide;Dipeptide Derivative;N-acetylcarnosine	2.4093	0.976	0.6733	1.1425	0.7831	1.0025	1.3729	0.7458	0.9975	0.9656	1.0967	0.8916	1.3129	1.2621	1.0055
Amino Acid;Urea cycle, Arginine and Proline Metabolism;N-acetylcitrulline	1.3162	1.2227	0.7031	0.3951	1.0431	1.3132	1.1185	1.1535	0.7546	1.0441	0.8664	0.6164	0.7314	0.9896	0.9622
Amino Acid;Glutamate Metabolism;N-acetylglutamate	0.4542	1.0485	0.6566	0.4962	0.9325	0.8232	0.8814	0.2688	1.0107	0.9893	0.8415	1.4272	1.8011	2.129	1.124
Amino Acid;Glutamate Metabolism;N-acetylglutamine	0.7291	1.3382	0.5443	0.6655	0.8105	0.6385	0.7964	0.7016	1.1332	0.7567	1.0105	1.5146	1.4467	1.3502	1.4152
Amino Acid;Glycine, Serine and Threonine Metabolism;N-acetylglycine	0.9399	0.6356	0.6867	0.5106	0.827	1.1651	1.3576	1.1982	1.1905	1.0728	1.1853	0.8279	0.7925	0.9698	1.0248
Amino Acid;Histidine Metabolism;N-acetylhistidine	0.8282	1.1407	0.7072	0.3089	0.9917	0.8846	0.723	0.6262	0.6874	0.8097	1.5662	1.2331	0.9004	1.1998	1.3147
Amino Acid;Leucine, Isoleucine and Valine Metabolism;N-acetylisoleucine	1.0409	1.0695	0.8365	0.5472	1.0051	0.9511	0.7652	0.7893	0.9949	0.8221	1.1524	1.1465	1.1634	1.3099	0.9501
Amino Acid;Tryptophan Metabolism;N-acetylkynurenine (2)	0.332	0.3238	0.2539	0.1877	0.2604	0.6493	0.347	0.2499	0.2614	0.33	2.5654	1.3507	3.6634	3.0532	1.7731
Amino Acid;Leucine, Isoleucine and Valine Metabolism;N-acetylleucine	0.6777	1.7082	0.9924	0.2413	0.8938	0.9112	0.6778	0.6732	1.0896	0.5901	1.0386	1.0407	1.0076	1.4784	1.0632
Amino Acid;Methionine, Cysteine, SAM and Taurine Metabolism;N-acetylmethionine	0.6968	1.0425	0.7915	0.3923	0.8591	0.7946	0.9209	0.4856	0.8866	0.8738	1.0834	1.0059	1.5193	1.235	1.0002
Carbohydrate;Aminosugar Metabolism;N-acetylneuraminate	2.2735	0.8683	0.8012	0.7466	0.9692	0.7164	0.6891	0.5918	0.8043	0.842	1.4059	1.1824	1.4988	1.3963	1.0674
